,s
581,http://yago-knowledge.org/resource/Animated_film
582,http://yago-knowledge.org/resource/Side_project
583,http://yago-knowledge.org/resource/Cave
584,http://yago-knowledge.org/resource/Bill_(law)
585,http://yago-knowledge.org/resource/Christian_denomination
586,http://yago-knowledge.org/resource/Strait
587,http://yago-knowledge.org/resource/Ballet_company
589,http://yago-knowledge.org/resource/Caravanserai
590,http://yago-knowledge.org/resource/Watercraft
591,http://yago-knowledge.org/resource/Regions_of_Namibia
592,http://yago-knowledge.org/resource/Regional_park
593,http://yago-knowledge.org/resource/Conflagration
594,http://yago-knowledge.org/resource/Mixture
595,http://yago-knowledge.org/resource/Township_(New_Jersey)
596,http://yago-knowledge.org/resource/Planetary_nebula
597,http://yago-knowledge.org/resource/Japanese_festivals
598,http://yago-knowledge.org/resource/Graduate_school
599,http://yago-knowledge.org/resource/National_academy
600,http://yago-knowledge.org/resource/Academy_of_sciences
601,http://yago-knowledge.org/resource/Swedish_Royal_Academies
602,http://yago-knowledge.org/resource/BWF_Super_Series
603,http://yago-knowledge.org/resource/Alphabet
604,http://yago-knowledge.org/resource/Departments_of_Argentina
605,http://yago-knowledge.org/resource/Communes_of_Algeria
606,http://yago-knowledge.org/resource/Municipalities_of_Venezuela
607,http://yago-knowledge.org/resource/Video_game_publisher
608,http://yago-knowledge.org/resource/Diaspora
609,http://yago-knowledge.org/resource/GLONASS-M
610,http://yago-knowledge.org/resource/Hospital_ship
611,http://yago-knowledge.org/resource/Communes_of_Romania
612,http://yago-knowledge.org/resource/Aircraft
614,http://yago-knowledge.org/resource/Colony
615,http://yago-knowledge.org/resource/List_of_communes_of_Haiti
616,http://yago-knowledge.org/resource/Carboxylic_acid
617,http://yago-knowledge.org/resource/Free_software
618,http://yago-knowledge.org/resource/Digital_Ally_400
619,http://yago-knowledge.org/resource/Software_company
620,http://yago-knowledge.org/resource/Flavonoid
621,http://yago-knowledge.org/resource/Wharf
622,http://yago-knowledge.org/resource/Botanical_garden
623,http://yago-knowledge.org/resource/Pan_Pacific_Open
624,http://yago-knowledge.org/resource/Union_councils_of_Pakistan
625,http://yago-knowledge.org/resource/Gael_Linn_Cup
626,http://yago-knowledge.org/resource/Air_base
627,http://yago-knowledge.org/resource/Court
628,http://yago-knowledge.org/resource/Border_town
629,http://yago-knowledge.org/resource/Scandal
630,http://yago-knowledge.org/resource/Districts_of_Afghanistan
631,http://yago-knowledge.org/resource/Passage_grave
632,http://yago-knowledge.org/resource/Gens
635,http://yago-knowledge.org/resource/Pub
636,http://yago-knowledge.org/resource/Architectural_firm
637,http://yago-knowledge.org/resource/Tower_mill
638,http://yago-knowledge.org/resource/Railway_company
639,http://yago-knowledge.org/resource/Fortress
640,http://yago-knowledge.org/resource/Natural_gas_field
641,http://yago-knowledge.org/resource/State_forest
642,http://yago-knowledge.org/resource/Empire
643,http://yago-knowledge.org/resource/Freguesia
644,http://yago-knowledge.org/resource/Ski_jumping_hill
645,http://yago-knowledge.org/resource/High-rise_building
646,http://yago-knowledge.org/resource/National_Heritage_Area
647,http://yago-knowledge.org/resource/Badminton_Asia_Championships
648,"http://yago-knowledge.org/resource/Imperial,_royal_and_noble_ranks"
649,http://yago-knowledge.org/resource/Condiment
650,http://yago-knowledge.org/resource/Sanjak
651,http://yago-knowledge.org/resource/Short_film
652,http://yago-knowledge.org/resource/Abugida
653,http://yago-knowledge.org/resource/Hydroelectric_power_station
654,http://yago-knowledge.org/resource/World_Chess_Championship
655,http://yago-knowledge.org/resource/Nuclear_power_plant
656,http://yago-knowledge.org/resource/U-boat
657,http://yago-knowledge.org/resource/Swimming_at_the_Pan_American_Games
658,http://yago-knowledge.org/resource/Discipline_(academia)
659,http://yago-knowledge.org/resource/Academic_major
660,http://yago-knowledge.org/resource/Municipalities_of_Cuba
661,http://yago-knowledge.org/resource/Port
662,http://yago-knowledge.org/resource/Bach_cantata
663,http://yago-knowledge.org/resource/Union_councils_of_Bangladesh
665,http://yago-knowledge.org/resource/Ward_(electoral_subdivision)
666,http://yago-knowledge.org/resource/Region
667,http://yago-knowledge.org/resource/Regional_units_of_Greece
668,http://yago-knowledge.org/resource/Military_rank
669,http://yago-knowledge.org/resource/Feature_film
670,http://yago-knowledge.org/resource/Roman_theatre_(structure)
671,http://yago-knowledge.org/resource/Isoflavonoid
672,http://yago-knowledge.org/resource/Medical_college
673,http://yago-knowledge.org/resource/War_grave
674,http://yago-knowledge.org/resource/United_States_National_Cemetery_System
675,http://yago-knowledge.org/resource/Protein_superfamily
676,http://yago-knowledge.org/resource/Government_of_Latvia
678,http://yago-knowledge.org/resource/Water_tower
679,http://yago-knowledge.org/resource/Animated_character
680,http://yago-knowledge.org/resource/Self-propelled_anti-aircraft_weapon
683,http://yago-knowledge.org/resource/Emulator
684,http://yago-knowledge.org/resource/Historic_site
685,http://yago-knowledge.org/resource/Commune_(Vietnam)
686,http://yago-knowledge.org/resource/Clan_(video_games)
687,http://yago-knowledge.org/resource/File_system
688,http://yago-knowledge.org/resource/Dialect
689,http://yago-knowledge.org/resource/Tokamak
690,http://yago-knowledge.org/resource/Molson_Indy_Vancouver
692,http://yago-knowledge.org/resource/Business_school
